127.0.0.1 - - [13/Oct/2021:13:16:39 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Oct/2021:15:18:10 +0900] "POST /day2/join_redirect.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Oct/2021:15:18:10 +0900] "GET /day2/redirect_check.jsp?para=%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [13/Oct/2021:15:18:34 +0900] "POST /day2/join_redirect.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Oct/2021:15:18:34 +0900] "GET /day2/redirect_check.jsp?para=%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [13/Oct/2021:15:23:07 +0900] "GET /day2/redirect.jsp HTTP/1.1" 200 718
0:0:0:0:0:0:0:1 - - [13/Oct/2021:15:23:15 +0900] "POST /day2/join_redirect.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Oct/2021:15:23:15 +0900] "GET /day2/redirect_check.jsp?para=%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [13/Oct/2021:15:35:49 +0900] "GET /day2/action.jsp HTTP/1.1" 500 2796
0:0:0:0:0:0:0:1 - - [13/Oct/2021:15:36:59 +0900] "GET /day2/action.jsp HTTP/1.1" 500 2796
0:0:0:0:0:0:0:1 - - [13/Oct/2021:15:38:18 +0900] "GET /day2/action.jsp HTTP/1.1" 500 2796
0:0:0:0:0:0:0:1 - - [13/Oct/2021:15:38:29 +0900] "GET /day2/action.jsp HTTP/1.1" 500 2796
0:0:0:0:0:0:0:1 - - [13/Oct/2021:15:38:52 +0900] "GET /day2/action.jsp HTTP/1.1" 500 2796
0:0:0:0:0:0:0:1 - - [13/Oct/2021:15:40:46 +0900] "GET /day2/action.jsp HTTP/1.1" 500 2794
0:0:0:0:0:0:0:1 - - [13/Oct/2021:15:42:58 +0900] "GET /day2/action.jsp HTTP/1.1" 500 2794
0:0:0:0:0:0:0:1 - - [13/Oct/2021:15:48:05 +0900] "GET /day2/action.jsp HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [13/Oct/2021:15:52:14 +0900] "GET /day2/action.jsp HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [13/Oct/2021:16:11:47 +0900] "GET /day2/actionsimple.jsp HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [13/Oct/2021:16:21:11 +0900] "GET /day2/actionmulti.jsp HTTP/1.1" 200 451
0:0:0:0:0:0:0:1 - - [13/Oct/2021:16:25:52 +0900] "GET /day2/includeExam.jsp HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [13/Oct/2021:16:36:21 +0900] "GET /day2/includeExam.jsp HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [13/Oct/2021:16:36:56 +0900] "GET /day2/includeExam.jsp HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [13/Oct/2021:17:05:59 +0900] "GET /day2/actionforward.jsp HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [13/Oct/2021:17:21:08 +0900] "GET /day2/cookieExam.jsp HTTP/1.1" 200 1255
0:0:0:0:0:0:0:1 - - [13/Oct/2021:17:21:45 +0900] "GET /day2/cookieExam.jsp HTTP/1.1" 200 794
0:0:0:0:0:0:0:1 - - [13/Oct/2021:17:22:12 +0900] "GET /day2/cookieExam.jsp HTTP/1.1" 200 794
0:0:0:0:0:0:0:1 - - [13/Oct/2021:17:22:13 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Oct/2021:17:28:09 +0900] "GET /day2/cookieExam.jsp HTTP/1.1" 200 1019
0:0:0:0:0:0:0:1 - - [13/Oct/2021:17:28:25 +0900] "GET /day2/cookieExam.jsp HTTP/1.1" 200 1019
0:0:0:0:0:0:0:1 - - [13/Oct/2021:17:28:54 +0900] "GET /day2/cookieExam.jsp HTTP/1.1" 200 1019
0:0:0:0:0:0:0:1 - - [13/Oct/2021:17:38:02 +0900] "GET /day2/cookieCheck.jsp HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [13/Oct/2021:17:39:08 +0900] "GET /day2/cookieExam.jsp HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [13/Oct/2021:17:39:12 +0900] "GET /day2/cookieCheck.jsp HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [13/Oct/2021:17:44:22 +0900] "GET /day2/cookieExam.jsp HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [13/Oct/2021:17:44:27 +0900] "GET /day2/cookieCheck.jsp HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [13/Oct/2021:17:44:32 +0900] "GET /day2/cookieDelete.jsp HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [13/Oct/2021:17:44:35 +0900] "GET /day2/cookieCheck.jsp HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [13/Oct/2021:17:44:57 +0900] "GET /day2/cookieDelete.jsp HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [13/Oct/2021:17:44:58 +0900] "GET /day2/cookieCheck.jsp HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [13/Oct/2021:17:44:59 +0900] "GET /day2/cookieDelete.jsp HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [13/Oct/2021:17:45:00 +0900] "GET /day2/cookieCheck.jsp HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [13/Oct/2021:17:45:02 +0900] "GET /day2/cookieDelete.jsp HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [13/Oct/2021:17:45:03 +0900] "GET /day2/cookieCheck.jsp HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [13/Oct/2021:17:45:25 +0900] "GET /day2/cookieDelete.jsp HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [13/Oct/2021:17:45:27 +0900] "GET /day2/cookieCheck.jsp HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [13/Oct/2021:17:45:41 +0900] "GET /day2/cookieExam.jsp HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [13/Oct/2021:17:45:46 +0900] "GET /day2/cookieCheck.jsp HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [13/Oct/2021:17:45:52 +0900] "GET /day2/cookieDelete.jsp HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [13/Oct/2021:17:45:54 +0900] "GET /day2/cookieCheck.jsp HTTP/1.1" 200 353
